Marque,Modele,Annee_modele,Km,Date_premiere_mise_en_circulation,Carburant,Boite_vitesse,Puissance,Critere_air,Couleur,Type_vehicule,Pays,Prix_neuf,Prix_occassion
BMW,Serie 3,2015,90243,2018-03-10,Hybride,Manuelle,110,Euro 1,Noir,Berline,France,45000,31424.0
Dacia,Sandero,2010,164957,2012-06-12,Gaz,Manuelle,90,Euro 4,Noir,Crossover,Allemagne,15900,7686.0
Hyundai,i20,2008,222742,2010-08-05,Gaz,Automatique,90,Euro 3,Rouge,Crossover,Japon,19500,7170.0
BMW,Serie 3,2005,247621,2007-03-18,Diesel,Manuelle,200,Euro 3,Blanc,Break,France,45000,8930.0
BMW,Serie 1,2017,110564,2017-12-01,Hybride,Automatique,130,Euro 1,Noir,Crossover,Espagne,35000,28084.0
Tesla,Model 3,2013,158027,2016-12-30,Electrique,Automatique,200,Euro 1,Noir,Crossover,Japon,45000,28080.0
Peugeot,3008,2013,45740,2016-09-24,Gaz,Manuelle,110,Euro 4,Noir,Monospace,France,35000,23688.0
BMW,Serie 5,2010,167558,2011-01-11,Hybride,Automatique,110,Euro 1,Rouge,Berline,France,65000,29862.0
Porsche,911 GT3,2017,54342,2019-11-28,Hybride,Automatique,150,Euro 1,Blanc,Break,France,212200,161838.0
Renault,Megane,2013,68477,2013-06-19,Essence,Automatique,90,Euro 4,Bleu,Berline,Italie,25000,16409.0
Porsche,911 Turbo,2019,99906,2022-12-17,Hybride,Automatique,200,Euro 1,Gris,Monospace,Japon,217386,170533.36
Citroen,C5 Aircross,2017,145262,2019-11-01,Essence,Automatique,110,Euro 5,Gris,SUV,Japon,35000,24115.0
BMW,Serie 1,2018,92793,2020-05-13,Electrique,Automatique,130,Euro 1,Blanc,Break,France,35000,31609.0
Mercedes,Classe E,2019,106587,2022-02-19,Diesel,Automatique,110,Euro 5,Noir,Berline,Italie,75000,58575.0
Toyota,Hilux,2011,100017,2012-01-17,Gaz,Manuelle,150,Euro 4,Blanc,SUV,Espagne,45000,24480.0
Toyota,Yaris,2009,55197,2010-07-04,Essence,Manuelle,110,Euro 3,Blanc,Break,Italie,19000,9550.0
Ford,Kuga,2008,210961,2009-09-04,Essence,Manuelle,200,Euro 3,Bleu,Break,Allemagne,34000,10850.0
Nissan,Qashqai,2022,119746,2024-11-01,Essence,Manuelle,200,Euro 6,Noir,Crossover,USA,34700,29631.0
Audi,A3,2012,149058,2012-01-13,Hybride,Manuelle,110,Euro 1,Gris,Break,Japon,34000,19050.0
Hyundai,i30,2017,110633,2019-12-04,Gaz,Automatique,110,Euro 5,Blanc,Break,Italie,22000,18088.0
Peugeot,3008,2007,221177,2010-12-25,Diesel,Automatique,130,Euro 3,Bleu,Berline,USA,35000,10341.0
Volkswagen,Golf,2012,57463,2014-10-25,Diesel,Manuelle,110,Euro 4,Gris,Berline,USA,25000,15399.0
Kia,EV6,2015,93619,2015-06-13,Hybride,Manuelle,110,Euro 1,Bleu,Crossover,Espagne,64607,43972.48
Ford,Focus,2015,77398,2018-08-17,Essence,Manuelle,200,Euro 5,Bleu,Monospace,Espagne,30550,20823.0
Tesla,Model S,2006,236003,2006-04-19,Electrique,Manuelle,200,Euro 1,Rouge,Crossover,Italie,95000,23460.0
Ford,Mustang,2005,160941,2005-12-01,Gaz,Manuelle,130,Euro 3,Rouge,Break,Allemagne,59300,16767.0
Tesla,Model S,2013,150350,2015-04-19,Electrique,Manuelle,130,Euro 1,Blanc,Crossover,Japon,95000,52676.0
Nissan,Ariya,2015,164748,2015-06-21,Gaz,Manuelle,110,Euro 5,Gris,Monospace,USA,39300,23883.0
BMW,Serie 5,2015,154241,2015-08-23,Gaz,Manuelle,110,Euro 5,Gris,Monospace,France,65000,39208.0
Toyota,Corolla,2009,15216,2010-09-29,Gaz,Manuelle,90,Euro 3,Noir,Berline,Allemagne,28000,16416.0
Audi,A3,2008,84659,2008-05-15,Diesel,Manuelle,90,Euro 3,Bleu,Monospace,Japon,34000,15356.0
BMW,Serie 3,2009,123621,2011-09-26,Essence,Manuelle,200,Euro 3,Noir,Monospace,USA,45000,19780.0
Porsche,Carrera 4 GTS Cabriolet,2014,239480,2016-05-31,Hybride,Automatique,200,Euro 1,Noir,SUV,USA,197400,96068.0
Porsche,911 Turbo,2010,83837,2012-03-14,Essence,Automatique,130,Euro 4,Blanc,Berline,Japon,217386,109843.0
Volkswagen,Passat,2011,201394,2012-07-22,Essence,Automatique,150,Euro 4,Bleu,Break,France,36000,15785.0
Dacia,Bigster,2015,205806,2016-06-14,Gaz,Manuelle,110,Euro 5,Blanc,Break,USA,25000,14628.0
Nissan,X-Trail,2006,241654,2007-06-10,Essence,Manuelle,200,Euro 3,Bleu,SUV,Italie,43800,9856.0
Dacia,Bigster,2021,26842,2021-04-22,Electrique,Automatique,90,Euro 1,Rouge,SUV,Japon,25000,29281.0
Ford,Mustang,2015,29009,2018-03-26,Essence,Manuelle,130,Euro 5,Rouge,Break,Italie,59300,42316.0
Nissan,X-Trail,2018,114826,2021-06-21,Essence,Automatique,110,Euro 5,Blanc,Break,Japon,43800,32589.0
Renault,Clio,2020,161069,2022-01-08,Diesel,Automatique,110,Euro 6,Gris,Break,Italie,17000,14472.0
Tesla,Model S,2016,38140,2016-07-01,Electrique,Automatique,90,Euro 1,Rouge,Berline,Italie,95000,75117.0
Nissan,X-Trail,2008,245481,2008-04-26,Essence,Automatique,200,Euro 3,Blanc,Crossover,France,43800,13104.0
BMW,X5,2006,145208,2006-09-30,Gaz,Manuelle,200,Euro 3,Blanc,Break,USA,80000,26720.0
Peugeot,308,2011,137587,2011-01-29,Hybride,Automatique,110,Euro 1,Blanc,SUV,USA,30000,17328.0
Citroen,C3 Berlin,2023,33727,2024-08-27,Gaz,Automatique,200,Euro 6,Blanc,Berline,Espagne,21800,25662.0
Toyota,RAV4,2021,179933,2023-01-08,Electrique,Automatique,200,Euro 1,Bleu,Monospace,Italie,37000,34040.0
Kia,Proceed,2009,110499,2011-04-04,Diesel,Manuelle,130,Euro 3,Bleu,SUV,Italie,33000,15092.0
Kia,Niro,2017,180310,2019-11-17,Diesel,Automatique,130,Euro 5,Gris,Berline,Allemagne,39811,26297.71
Ford,Bronco,2020,217115,2022-03-04,Diesel,Automatique,200,Euro 6,Noir,Crossover,Allemagne,76500,53935.0
Peugeot,308,2005,23365,2008-03-23,Diesel,Automatique,130,Euro 3,Gris,Break,France,30000,13653.0
Mercedes,GLC,2012,170629,2015-10-22,Hybride,Manuelle,90,Euro 1,Noir,Monospace,Allemagne,85000,41783.0
Dacia,Spring,2011,173365,2013-06-08,Hybride,Automatique,90,Euro 1,Gris,SUV,Japon,22000,12276.0
Porsche,Taycan 4 Cross Turismmo,2024,42452,2027-10-07,Essence,Manuelle,150,Euro 6,Gris,Break,USA,117450,113232.0
Mercedes,Classe C,2014,143354,2017-01-04,Essence,Manuelle,200,Euro 4,Rouge,Break,Espagne,55000,31360.0
Peugeot,308,2010,90176,2012-08-09,Essence,Automatique,150,Euro 4,Gris,Monospace,Japon,30000,15925.0
Audi,A3,2008,216807,2008-07-19,Gaz,Automatique,150,Euro 3,Gris,Monospace,Japon,34000,12090.0
Hyundai,Tucson,2020,225622,2021-07-13,Essence,Manuelle,130,Euro 6,Noir,Break,Allemagne,35000,23298.0
Citroen,C5 X,2012,195603,2013-02-11,Hybride,Manuelle,130,Euro 1,Bleu,Break,Allemagne,36700,18450.0
Volkswagen,Passat,2024,83779,2024-10-18,Essence,Manuelle,150,Euro 6,Gris,Berline,Japon,36000,33580.0
Dacia,Sandero,2010,158131,2010-02-09,Gaz,Manuelle,150,Euro 4,Noir,Berline,France,15900,8127.0
BMW,Serie 5,2008,152781,2010-07-25,Gaz,Manuelle,130,Euro 3,Rouge,Monospace,Italie,65000,25086.0
Tesla,Model 3,2018,146991,2018-08-08,Electrique,Automatique,200,Euro 1,Blanc,SUV,USA,45000,36720.0
Toyota,Yaris,2018,72140,2018-05-05,Hybride,Automatique,150,Euro 1,Gris,Crossover,Espagne,19000,19125.0
Porsche,Taycan 4 Cross Turismmo,2011,239984,2013-03-29,Essence,Manuelle,90,Euro 4,Gris,Break,Espagne,117450,44593.0
Nissan,X-Trail,2013,193024,2016-04-23,Gaz,Automatique,90,Euro 4,Bleu,Break,Japon,43800,23136.0
Audi,A6,2005,77278,2006-07-26,Essence,Manuelle,90,Euro 3,Rouge,SUV,Japon,72000,25884.0
Citroen,C3 Berlin,2008,210262,2010-12-07,Essence,Automatique,200,Euro 3,Rouge,Break,France,21800,7688.0
Toyota,RAV4,2007,127336,2007-12-16,Gaz,Manuelle,130,Euro 3,Bleu,Break,France,37000,14726.0
Toyota,Corolla,2017,195214,2020-01-26,Hybride,Manuelle,130,Euro 1,Bleu,Break,Allemagne,28000,19380.0
Dacia,Sandero,2016,20434,2018-01-26,Gaz,Automatique,90,Euro 5,Noir,Berline,Espagne,15900,15022.0
Dacia,Sandero,2006,233464,2009-04-18,Gaz,Manuelle,110,Euro 3,Noir,Break,Allemagne,15900,4255.0
Mercedes,Classe C,2021,125320,2021-10-10,Electrique,Automatique,110,Euro 1,Blanc,SUV,Japon,55000,49849.0
Kia,Sportage,2011,192017,2013-03-19,Hybride,Manuelle,130,Euro 1,Rouge,Monospace,Japon,48039,21982.38
Nissan,Leaf,2019,80682,2019-03-19,Hybride,Manuelle,150,Euro 1,Gris,Crossover,Allemagne,33000,28875.0
Kia,EV6,2016,33934,2018-08-23,Hybride,Manuelle,90,Euro 1,Gris,Break,Allemagne,64607,50010.11
Kia,Proceed,2020,17533,2023-05-29,Essence,Manuelle,130,Euro 6,Bleu,SUV,USA,33000,28971.0
Nissan,X-Trail,2010,78106,2010-10-18,Hybride,Automatique,200,Euro 1,Gris,Berline,France,43800,25908.0
Citroen,C5 X,2022,145191,2024-05-29,Essence,Automatique,150,Euro 6,Bleu,Monospace,Espagne,36700,31360.0
Citroen,C4,2024,249509,2024-02-02,Hybride,Manuelle,200,Euro 1,Noir,Break,France,24000,22040.0
BMW,Serie 1,2024,17366,2027-06-15,Electrique,Automatique,90,Euro 1,Gris,Break,Japon,35000,42471.0
Audi,A3,2024,194657,2027-12-07,Electrique,Automatique,130,Euro 1,Blanc,Berline,Espagne,34000,34263.0
Kia,Sportage,2024,169686,2026-07-30,Hybride,Manuelle,150,Euro 1,Blanc,Berline,Italie,48039,44132.76
Nissan,Ariya,2013,194208,2015-05-28,Essence,Automatique,200,Euro 4,Noir,SUV,USA,39300,20304.0
Mercedes,Classe C,2020,103135,2022-12-30,Diesel,Automatique,110,Euro 6,Noir,Break,France,55000,45318.0
Renault,Megane,2006,209800,2008-03-02,Essence,Manuelle,110,Euro 3,Noir,SUV,Italie,25000,6526.0
BMW,Serie 1,2017,75135,2018-02-26,Gaz,Manuelle,200,Euro 5,Gris,Break,Allemagne,35000,27720.0
Volkswagen,Arteon,2011,118494,2012-12-04,Gaz,Manuelle,90,Euro 4,Gris,Berline,France,48000,25200.0
Mercedes,Classe E,2023,19116,2023-02-14,Gaz,Manuelle,150,Euro 6,Bleu,Break,Japon,75000,74880.0
Peugeot,5008,2021,187033,2021-08-21,Essence,Automatique,200,Euro 6,Noir,Break,Espagne,42000,32850.0
Ford,Focus,2018,204220,2020-11-09,Gaz,Manuelle,150,Euro 5,Rouge,Monospace,Japon,30550,20801.0
Porsche,Taycan 4 Cross Turismmo,2007,83625,2010-01-31,Essence,Manuelle,130,Euro 3,Rouge,SUV,Italie,117450,48277.5
Hyundai,i30,2005,47775,2006-02-01,Diesel,Automatique,90,Euro 3,Rouge,SUV,Espagne,22000,9711.0
Kia,Proceed,2014,130203,2014-12-22,Essence,Automatique,130,Euro 4,Gris,SUV,Italie,33000,20121.0
Peugeot,5008,2015,94489,2017-01-21,Gaz,Manuelle,90,Euro 5,Blanc,Berline,Japon,42000,28416.0
Nissan,Ariya,2019,148543,2020-01-24,Gaz,Manuelle,110,Euro 5,Bleu,SUV,Espagne,39300,29749.0
Toyota,Yaris,2011,219666,2014-02-07,Hybride,Manuelle,90,Euro 1,Noir,Berline,Espagne,19000,9160.0
Toyota,Corolla,2022,230722,2023-07-10,Essence,Manuelle,110,Euro 6,Rouge,Monospace,Allemagne,28000,19951.0
Renault,Clio,2009,44988,2009-05-09,Gaz,Manuelle,110,Euro 3,Blanc,Monospace,USA,17000,9996.0
Tesla,Model S,2015,61193,2015-09-04,Electrique,Manuelle,130,Euro 1,Noir,SUV,Japon,95000,67871.0
Renault,Megane,2017,158634,2019-08-23,Diesel,Manuelle,200,Euro 5,Rouge,Berline,Espagne,25000,17280.0
Ford,Bronco,2013,72601,2015-01-12,Hybride,Automatique,200,Euro 1,Blanc,SUV,Allemagne,76500,50100.0
Porsche,Carrera 4 GTS Cabriolet,2005,197893,2008-03-01,Hybride,Automatique,110,Euro 1,Blanc,Berline,France,197400,48840.0
Toyota,RAV4,2018,67230,2021-06-17,Gaz,Automatique,150,Euro 5,Bleu,Berline,France,37000,31920.0
Ford,Focus,2019,189591,2020-02-06,Diesel,Automatique,130,Euro 5,Noir,SUV,Japon,30550,22679.5
Tesla,Model X,2011,138772,2013-08-29,Electrique,Automatique,90,Euro 1,Blanc,SUV,Allemagne,120000,61392.0
Mercedes,Classe C,2018,236409,2020-07-09,Hybride,Manuelle,200,Euro 1,Bleu,Berline,Allemagne,55000,35400.0
Toyota,Yaris,2018,94005,2020-09-29,Electrique,Automatique,110,Euro 1,Bleu,Berline,France,19000,19783.0
Peugeot,308,2012,249587,2015-02-28,Gaz,Automatique,130,Euro 4,Gris,Berline,Italie,30000,13920.0
Tesla,Model S,2010,41611,2013-01-23,Electrique,Automatique,150,Euro 1,Rouge,Crossover,Espagne,95000,55890.0
Citroen,C3 Berlin,2015,159486,2018-10-20,Diesel,Automatique,150,Euro 5,Noir,Crossover,Italie,21800,14674.0
Tesla,Model X,2021,78189,2024-07-13,Electrique,Automatique,110,Euro 1,Blanc,Crossover,Espagne,120000,107604.0
Dacia,Spring,2016,246371,2018-02-25,Gaz,Automatique,90,Euro 5,Blanc,SUV,Espagne,22000,13728.0
Toyota,Hilux,2007,53230,2010-10-03,Diesel,Manuelle,200,Euro 3,Gris,SUV,Allemagne,45000,20680.0
Nissan,Ariya,2021,163686,2021-06-05,Essence,Manuelle,130,Euro 6,Rouge,Monospace,Allemagne,39300,29700.0
Audi,A3,2023,109318,2026-04-22,Electrique,Manuelle,200,Euro 1,Gris,Break,Japon,34000,35670.0
Audi,Q5,2012,127218,2015-06-28,Hybride,Manuelle,150,Euro 1,Bleu,Crossover,Allemagne,65000,36140.0
Peugeot,3008,2010,65991,2011-01-17,Hybride,Automatique,90,Euro 1,Rouge,SUV,France,35000,21268.0
Nissan,Leaf,2020,32826,2020-06-04,Hybride,Manuelle,90,Euro 1,Noir,SUV,Italie,33000,31365.0
Kia,EV6,2018,195497,2018-03-11,Electrique,Manuelle,130,Euro 1,Rouge,Berline,France,64607,44671.41
Citroen,C5 Aircross,2023,198564,2026-03-10,Diesel,Manuelle,150,Euro 6,Rouge,Berline,Espagne,35000,28470.0
Nissan,Leaf,2007,225914,2010-08-20,Diesel,Automatique,200,Euro 3,Blanc,Monospace,Espagne,33000,9990.0
BMW,Serie 1,2022,145893,2024-02-27,Electrique,Automatique,200,Euro 1,Rouge,Monospace,Allemagne,35000,35200.0
Kia,Sportage,2023,142039,2026-09-25,Essence,Manuelle,200,Euro 6,Noir,SUV,USA,48039,40702.37
Toyota,Hilux,2013,131197,2014-08-14,Gaz,Manuelle,150,Euro 4,Rouge,Monospace,Espagne,45000,25920.0
Mercedes,Classe A,2010,69116,2011-03-12,Essence,Automatique,90,Euro 4,Blanc,Crossover,Allemagne,38000,20748.0
Renault,Clio,2018,157103,2020-11-20,Diesel,Manuelle,110,Euro 5,Bleu,Crossover,Japon,17000,12127.0
Mercedes,GLC,2015,25152,2015-10-05,Gaz,Manuelle,150,Euro 5,Rouge,Break,Allemagne,85000,62480.0
Hyundai,i30,2015,23469,2017-06-02,Hybride,Automatique,110,Euro 1,Gris,SUV,Japon,22000,19951.0
Volkswagen,Passat,2019,200702,2019-06-20,Essence,Automatique,90,Euro 5,Blanc,Berline,Italie,36000,24635.0
Audi,A4,2022,99554,2025-02-27,Electrique,Automatique,110,Euro 1,Gris,SUV,Japon,48000,47685.0
Hyundai,Tucson,2005,173847,2007-06-04,Essence,Automatique,150,Euro 3,Gris,Crossover,France,35000,9750.0
Mercedes,Classe E,2011,234058,2013-09-12,Hybride,Automatique,150,Euro 1,Blanc,Berline,Espagne,75000,30970.0
Tesla,Model S,2019,158350,2022-04-12,Electrique,Automatique,130,Euro 1,Noir,Break,Allemagne,95000,72310.0
Mercedes,Classe E,2007,81270,2007-05-15,Gaz,Manuelle,110,Euro 3,Gris,SUV,Allemagne,75000,31816.0
Ford,Bronco,2024,99569,2024-03-19,Gaz,Manuelle,90,Euro 6,Blanc,SUV,Allemagne,76500,71799.0
Kia,Niro,2007,179914,2010-02-27,Gaz,Manuelle,110,Euro 3,Noir,Crossover,Espagne,39811,13571.52
Kia,EV6,2013,91438,2015-08-25,Essence,Automatique,110,Euro 4,Rouge,Crossover,Allemagne,64607,38690.06
Audi,A6,2023,33432,2025-03-25,Electrique,Automatique,200,Euro 1,Noir,SUV,Allemagne,72000,76140.0
Volkswagen,Passat,2009,118804,2011-06-30,Gaz,Manuelle,200,Euro 3,Noir,Crossover,USA,36000,17380.0
Nissan,Leaf,2009,64335,2011-04-10,Diesel,Manuelle,200,Euro 3,Noir,Crossover,Espagne,33000,17150.0
Nissan,X-Trail,2019,242877,2021-03-26,Essence,Manuelle,200,Euro 5,Gris,Crossover,France,43800,27328.0
Hyundai,i30,2016,53248,2016-09-28,Gaz,Manuelle,90,Euro 5,Rouge,Crossover,Allemagne,22000,17324.0
Kia,Sportage,2017,145793,2018-02-12,Diesel,Automatique,90,Euro 5,Gris,Berline,Allemagne,48039,33110.35
Toyota,Yaris,2019,185737,2021-04-05,Hybride,Automatique,150,Euro 1,Blanc,SUV,Allemagne,19000,17085.0
Tesla,Model S,2018,141445,2020-01-12,Electrique,Automatique,110,Euro 1,Noir,Berline,France,95000,70108.0
Nissan,Ariya,2008,128973,2011-08-11,Gaz,Manuelle,150,Euro 3,Blanc,SUV,USA,39300,16920.0
Porsche,Taycan 4 Cross Turismmo,2011,105188,2012-11-16,Hybride,Automatique,200,Euro 1,Rouge,Monospace,USA,117450,63469.5
Hyundai,Tucson,2023,190261,2023-07-10,Electrique,Automatique,200,Euro 1,Blanc,Break,France,35000,34320.0
Ford,Mustang,2018,135551,2018-10-14,Essence,Manuelle,130,Euro 5,Noir,Break,France,59300,41124.0
Ford,Bronco,2005,55614,2005-12-22,Essence,Manuelle,130,Euro 3,Bleu,Berline,Japon,76500,29184.0
Toyota,Yaris,2007,96646,2007-03-11,Essence,Automatique,90,Euro 3,Noir,Berline,France,19000,8360.0
BMW,Serie 3,2014,222973,2014-12-19,Diesel,Automatique,90,Euro 4,Bleu,Monospace,Japon,45000,22992.0
BMW,Serie 3,2008,84876,2009-06-29,Diesel,Automatique,130,Euro 3,Rouge,Berline,Japon,45000,21252.0
Peugeot,308,2018,233276,2019-08-27,Electrique,Automatique,110,Euro 1,Noir,Berline,Italie,30000,22479.0
Porsche,911 Turbo,2012,227134,2013-04-02,Essence,Automatique,110,Euro 4,Bleu,Break,Espagne,217386,92184.12
Hyundai,i20,2014,189728,2014-11-10,Essence,Automatique,150,Euro 4,Noir,Crossover,France,19500,11440.0
Toyota,RAV4,2024,94628,2024-06-29,Diesel,Automatique,200,Euro 6,Bleu,SUV,USA,37000,37310.0
Volkswagen,Tiguan,2013,118116,2016-02-09,Hybride,Manuelle,130,Euro 1,Rouge,Berline,Italie,40000,24808.0
Mercedes,Classe A,2021,130951,2024-03-20,Electrique,Automatique,90,Euro 1,Noir,Crossover,USA,38000,35802.0
Peugeot,308,2024,98991,2027-12-31,Diesel,Automatique,130,Euro 6,Gris,Berline,France,30000,30303.0
Mercedes,Classe A,2012,30104,2015-09-14,Hybride,Manuelle,110,Euro 1,Noir,Monospace,France,38000,25681.0
Nissan,Leaf,2023,41083,2024-11-14,Essence,Automatique,150,Euro 6,Blanc,Berline,Italie,33000,33015.0
Hyundai,i30,2021,163952,2023-10-29,Hybride,Automatique,130,Euro 1,Gris,SUV,USA,22000,21225.0
Toyota,Yaris,2023,76237,2025-05-03,Diesel,Automatique,150,Euro 6,Blanc,SUV,Allemagne,19000,20250.0
Renault,Talisman,2008,44527,2009-01-14,Diesel,Manuelle,200,Euro 3,Gris,Monospace,Allemagne,40000,20160.0
Kia,EV6,2022,102667,2023-07-10,Gaz,Automatique,130,Euro 6,Bleu,SUV,France,64607,58301.88
Tesla,Model 3,2007,214008,2008-12-03,Electrique,Manuelle,110,Euro 1,Bleu,SUV,USA,45000,14308.0
Peugeot,308,2015,201765,2015-01-17,Gaz,Manuelle,150,Euro 5,Bleu,Monospace,Japon,30000,17490.0
Renault,Captur,2018,223247,2021-01-12,Electrique,Manuelle,130,Euro 1,Bleu,Break,Espagne,28000,20580.0
Audi,A6,2008,138997,2011-04-27,Diesel,Manuelle,130,Euro 3,Noir,Monospace,Allemagne,72000,28587.0
Dacia,Duster,2016,239760,2016-01-31,Hybride,Automatique,110,Euro 1,Rouge,Crossover,France,19900,13780.0
BMW,Serie 5,2012,75895,2014-06-28,Hybride,Manuelle,150,Euro 1,Gris,Monospace,France,65000,39615.0
Peugeot,5008,2022,187327,2022-05-16,Essence,Automatique,90,Euro 6,Bleu,Berline,Espagne,42000,33364.0
Mercedes,Classe C,2005,61057,2007-01-23,Essence,Manuelle,150,Euro 3,Blanc,Berline,Japon,55000,20535.0
Porsche,911 GT3,2016,112879,2017-06-21,Hybride,Automatique,110,Euro 1,Bleu,Break,Allemagne,212200,141895.0
Peugeot,5008,2023,198483,2024-02-22,Diesel,Automatique,90,Euro 6,Gris,Break,Italie,42000,35022.0
Renault,Megane,2007,75966,2010-02-12,Gaz,Manuelle,110,Euro 3,Bleu,Berline,Allemagne,25000,11592.0
Dacia,Bigster,2007,213668,2007-10-18,Essence,Automatique,90,Euro 3,Bleu,Berline,Espagne,25000,7532.0
BMW,X5,2020,101868,2020-05-23,Essence,Automatique,110,Euro 6,Rouge,Berline,Espagne,80000,64038.0
Nissan,X-Trail,2006,163342,2006-07-26,Essence,Manuelle,150,Euro 3,Gris,SUV,Allemagne,43800,13290.0
Nissan,Leaf,2024,75107,2024-02-20,Gaz,Automatique,130,Euro 6,Gris,Berline,Italie,33000,35154.0
Citroen,C3 Berlin,2010,25402,2013-12-03,Diesel,Manuelle,110,Euro 4,Rouge,Break,Italie,21800,12824.0
Porsche,911 Turbo,2017,14393,2020-01-15,Essence,Manuelle,150,Euro 5,Gris,SUV,Espagne,217386,169951.08
Volkswagen,Arteon,2008,77209,2009-12-07,Gaz,Automatique,110,Euro 3,Bleu,Break,Italie,48000,23670.0
Nissan,Ariya,2018,214186,2021-09-15,Diesel,Manuelle,110,Euro 5,Blanc,Berline,Espagne,39300,24644.0
Mercedes,GLC,2020,52343,2022-06-14,Diesel,Manuelle,110,Euro 6,Noir,Break,USA,85000,71463.0
Dacia,Duster,2013,216615,2015-05-19,Essence,Manuelle,90,Euro 4,Gris,SUV,Espagne,19900,9108.0
Volkswagen,Golf,2024,156254,2027-01-24,Diesel,Manuelle,90,Euro 6,Noir,Monospace,USA,25000,22015.0
Kia,Niro,2013,126449,2014-09-05,Essence,Manuelle,90,Euro 4,Blanc,SUV,Espagne,39811,21841.05
Renault,Talisman,2016,12169,2016-09-27,Diesel,Automatique,130,Euro 5,Noir,Monospace,USA,40000,32475.0
Audi,A3,2013,95242,2016-11-17,Gaz,Manuelle,90,Euro 4,Noir,Break,Allemagne,34000,21112.0
Audi,A4,2006,128704,2009-03-30,Gaz,Automatique,90,Euro 3,Blanc,Break,Italie,48000,17816.0
Citroen,C5 Aircross,2023,217838,2024-09-01,Electrique,Automatique,110,Euro 1,Gris,Berline,Espagne,35000,32756.0
Nissan,Leaf,2007,130893,2009-01-04,Diesel,Automatique,130,Euro 3,Rouge,Monospace,Japon,33000,13068.0
Audi,A6,2022,22840,2024-04-30,Electrique,Manuelle,110,Euro 1,Gris,Crossover,Allemagne,72000,71852.0
Audi,Q5,2017,115767,2020-04-24,Essence,Manuelle,110,Euro 5,Blanc,Berline,USA,65000,44268.0
Dacia,Spring,2006,225461,2006-07-17,Gaz,Manuelle,150,Euro 3,Blanc,Break,France,22000,6000.0
Kia,Proceed,2007,210421,2009-06-18,Gaz,Automatique,110,Euro 3,Bleu,Break,Allemagne,33000,10528.0
Mercedes,Classe E,2022,248629,2025-08-16,Hybride,Manuelle,130,Euro 1,Blanc,Berline,USA,75000,55510.0
Hyundai,Tucson,2024,30541,2025-09-09,Hybride,Manuelle,130,Euro 1,Gris,SUV,France,35000,38121.0
Porsche,911 GT3,2015,240829,2018-05-14,Hybride,Automatique,130,Euro 1,Bleu,Break,Italie,212200,107065.0
Hyundai,i20,2023,147335,2024-01-23,Hybride,Manuelle,90,Euro 1,Rouge,Monospace,Japon,19500,19422.0
Mercedes,Classe C,2013,184040,2015-11-16,Diesel,Manuelle,150,Euro 4,Gris,Break,Japon,55000,27685.0
Tesla,Model X,2016,166326,2017-10-02,Electrique,Manuelle,90,Euro 1,Rouge,Crossover,USA,120000,75540.0
Porsche,Taycan 4 Cross Turismmo,2014,172169,2016-06-30,Essence,Manuelle,150,Euro 4,Noir,Monospace,Espagne,117450,62513.5
Mercedes,Classe E,2023,182787,2024-11-23,Electrique,Automatique,150,Euro 1,Rouge,Crossover,France,75000,65965.0
Nissan,Leaf,2013,112157,2016-01-04,Diesel,Manuelle,150,Euro 4,Bleu,Crossover,Allemagne,33000,19320.0
Hyundai,Tucson,2023,109527,2024-02-10,Electrique,Manuelle,110,Euro 1,Bleu,Crossover,France,35000,35757.0
Nissan,X-Trail,2021,131572,2022-06-20,Electrique,Manuelle,150,Euro 1,Bleu,Berline,USA,43800,39234.0
BMW,Serie 3,2021,10093,2024-11-11,Hybride,Automatique,130,Euro 1,Bleu,SUV,Japon,45000,46170.0
Dacia,Sandero,2008,92105,2010-01-31,Diesel,Manuelle,90,Euro 3,Bleu,Monospace,Japon,15900,7224.0
Dacia,Bigster,2013,57352,2013-11-22,Hybride,Manuelle,110,Euro 1,Blanc,Monospace,Espagne,25000,18042.0
Dacia,Duster,2007,198398,2008-02-15,Diesel,Automatique,150,Euro 3,Blanc,SUV,Allemagne,19900,7020.0
Renault,Clio,2017,21882,2018-11-27,Essence,Automatique,200,Euro 5,Bleu,SUV,Italie,17000,15400.0
Mercedes,GLC,2012,54502,2012-07-10,Hybride,Automatique,150,Euro 1,Rouge,SUV,USA,85000,53985.0
Peugeot,5008,2018,11749,2021-02-18,Gaz,Automatique,110,Euro 5,Gris,Berline,Espagne,42000,37746.0
Volkswagen,Golf,2007,44674,2008-04-23,Essence,Automatique,130,Euro 3,Noir,Crossover,Allemagne,25000,12285.0
Kia,Niro,2021,72158,2024-11-15,Essence,Manuelle,200,Euro 6,Blanc,SUV,USA,39811,34281.24
Nissan,X-Trail,2021,81249,2023-12-25,Electrique,Automatique,110,Euro 1,Blanc,Berline,Espagne,43800,43077.0
Nissan,Qashqai,2013,140964,2014-11-17,Hybride,Automatique,110,Euro 1,Bleu,Berline,Allemagne,34700,21624.0
Nissan,Leaf,2013,241232,2013-11-23,Gaz,Automatique,200,Euro 4,Bleu,Berline,Espagne,33000,16555.0
Citroen,C5 X,2005,226377,2005-10-20,Essence,Manuelle,150,Euro 3,Bleu,Crossover,Allemagne,36700,7812.0
Ford,Focus,2016,14651,2016-01-29,Essence,Automatique,130,Euro 5,Blanc,Crossover,Allemagne,30550,24637.5
